songTitle,artist,songCoverPixel,songCover,songSnippet,songFull,day,month
Lean On,Major Lazer,static/images/songCoverPixel/leanon.png,static/images/songCover/leanon.png,static/audio/songSnippet/leanon.mp3,static/audio/songFull/leanon.mp3,11,2
Despacito,"Luis Fonsi, Daddy Yankee and Justin bieber",static/images/songCoverPixel/despacito.png,static/images/songCover/despacito.png,static/audio/songSnippet/despacito.mp3,static/audio/songFull/despacito.mp3,10,2
Thunder,Imagine Dragons,static/images/songCoverPixel/thunder.jpg,static/images/songCover/thunder.jpg,static/audio/songSnippet/thunder.mp3,static/audio/songFull/thunder.mp3,13,3
Sorry,Justin Bieber,static/images/songCoverPixel/sorry.png,static/images/songCover/sorry.png,static/audio/songSnippet/sorry.mp3,static/audio/songFull/sorry.mp3,24,12
Dont Let Me Down,The Chainsmoker ft Daya,static/images/songCoverPixel/dontletmedown.png,static/images/songCover/dontletmedown.png,static/audio/songSnippet/dontletmedown.mp3,static/audio/songFull/dontletmedown.mp3,12,1
XO Tour Llif3,Lil Uzi Vert,static/images/songCoverPixel/xotourllif3.png,static/images/songCover/xotourllif3.png,static/audio/songSnippet/xotourllif3.mp3,static/audio/songFull/xotourllif3.mp3,14,3
Humble,Kendrick Lamar,static/images/songCoverPixel/humble.jpg,static/images/songCover/humble.jpg,static/audio/songSnippet/humble.mp3,static/audio/songFull/humble.mp3,12,2
I Took a Pill in Ibiza,Mike Posner,static/images/songCoverPixel/itookapillinibiza.png,static/images/songCover/itookapillinibiza.png,static/audio/songSnippet/itookapillinibiza.mp3,static/audio/songFull/itookapillinibiza.mp3,15,3
Let Me Love You,DJ Snake ft JUstin Bieber,static/images/songCoverPixel/letmeloveyou.jpg,static/images/songCover/letmeloveyou.jpg,static/audio/songSnippet/letmeloveyou.mp3,static/audio/songFull/letmeloveyou.mp3,31,1
Better Now,Post Malone,static/images/songCoverPixel/betternow.png,static/images/songCover/betternow.png,static/audio/songSnippet/betternow.mp3,static/audio/songFull/betternow.mp3,22,12
All of Me,John Legend,static/images/songCoverPixel/allofme.jpg,static/images/songCover/allofme.jpg,static/audio/songSnippet/allofme.mp3,static/audio/songFull/allofme.mp3,11,1
Faded,Alan Walker,static/images/songCoverPixel/faded.png,static/images/songCover/faded.png,static/audio/songSnippet/faded.mp3,static/audio/songFull/faded.mp3,17,3
Stressed Out,Twenty One Pilots,static/images/songCoverPixel/stressedout.jpg,static/images/songCover/stressedout.jpg,static/audio/songSnippet/stressedout.mp3,static/audio/songFull/stressedout.mp3,16,3
Congratulations ,Post Malone ft Quavo,static/images/songCoverPixel/congratulations.jpeg,static/images/songCover/congratulations.jpeg,static/audio/songSnippet/congratulations.mp3,static/audio/songFull/congratulations.mp3,25,12
7 rings,Ariana Grande,static/images/songCoverPixel/7rings.png,static/images/songCover/7rings.png,static/audio/songSnippet/7rings.mp3,static/audio/songFull/7rings.mp3,10,1
Take me to Church,Hozier,static/images/songCoverPixel/takemetochurch.jpg,static/images/songCover/takemetochurch.jpg,static/audio/songSnippet/takemetochurch.mp3,static/audio/songFull/takemetochurch.mp3,13,2
Jocelyn Flores,XXXTENTACION,static/images/songCoverPixel/jocelynflores.png,static/images/songCover/jocelynflores.png,static/audio/songSnippet/jocelynflores.mp3,static/audio/songFull/jocelynflores.mp3,13,1
Treat You Better,Shawn Mendes,static/images/songCoverPixel/treatyoubetter.png,static/images/songCover/treatyoubetter.png,static/audio/songSnippet/treatyoubetter.mp3,static/audio/songFull/treatyoubetter.mp3,23,12
SICKO MODE,Travis Scott ft Drake,static/images/songCoverPixel/sickomode.jpg,static/images/songCover/sickomode.jpg,static/audio/songSnippet/sickomode.mp3,static/audio/songFull/sickomode.mp3,18,3
Unforgettable,French Montana ft Swae Lee,static/images/songCoverPixel/unforgettable.jpg,static/images/songCover/unforgettable.jpg,static/audio/songSnippet/unforgettable.mp3,static/audio/songFull/unforgettable.mp3,14,1
Uptown Funk,Mark Ronson ft Bruno Mars,static/images/songCoverPixel/uptownfunk.png,static/images/songCover/uptownfunk.png,static/audio/songSnippet/uptownfunk.mp3,static/audio/songFull/uptownfunk.mp3,14,2
